Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Machine Learning Foundations: Statistics,"<p>Machine learning models have revolutionized how we work, across a multitude of industries. But going deeper with ML models and actually understanding how they work will allow you to optimize performance, innovate, troubleshoot issues, and create new and more efficient ML models. In this course,  the fourth part of the <i>Machine Learning Foundations</i> series, Terezija Semenski explains how a deep understanding of statistics can help you excel when it comes to machine learning projects. Terezija shows how statistics plays a large role in machine learning —beyond just crunching numbers—and shows you how to use statistics to gain insights into the data, understand the uncertainties associated with predictions, and make data-driven decisions with confidence. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/machine-learning-statistical-foundations-professional-certificate-by-wolfram-research"" target=""_blank"">Professional Certificate</a> from Wolfram Research.</p>",Course,2025-11-06 12:01 UTC,2025-11-06 12:01 UTC,false,N/A,
Python: Recursion,"Recursion is part of the very fabric of computer science and software development, and whether you rarely use it or if it’s a key part of your development, there’s a good chance recursion is happening behind the scenes. Recursion is a powerful tool in breaking down complex problems into more manageable segments, and knowledge of recursion is a desirable trait that employers look for in developer positions. In this course, Robin Andrews takes a deep dive into the concepts, techniques, and applications of recursion using Python. He starts with some real-world examples of recursion, and then shows how it pertains to software development. He covers classic recursive algorithms like factorials and Fibonacci numbers, before showing how to write recursive algorithms in Python through practice exercises. After completing this course, you will have a better idea of how to use recursive algorithms to solve a wide range of software development issues.",Course,2026-01-08 11:00 UTC,N/A,false,N/A,
Top 10 Skills for AI Engineer/AI Ops Engineers,"<p>Check out the <i>Top 10 Skills</i> series, where career experts and LinkedIn Learning instructors walk you through the most important skills for data science professionals today. In this short beginner-friendly course, find out what you need to know to succeed in a rapidly growing field as an AI or AI Ops engineer, gathering insights along the way from data expert Ben Sullins to build out your toolbox and boost your career.</p><p>Whether you’re looking for a new move in data science, or just retooling for your current role, Ben shows you the skill set that can set you apart, working down the list, one skill at a time. Explore the fundamentals of programming languages, machine learning, deep learning, data processing and analysis, natural language processing, computer vision, cloud computing, big data technologies, DevOps and AIOps, and communicative problem-solving. Discover the importance of preparing for tomorrow by learning impactful, new skills today.</p><p>Note: This course was created by Ben Sullins of Free the Data Academy. We are pleased to host this content in our library.</p>",Course,2025-08-27 13:27 UTC,2025-08-27 13:19 UTC,false,N/A,
Learning Java 11,"Java is one of the top five programming languages, and is used for websites, embedded controllers, and Android app development. Interested in learning how to code with Java? Join instructor Kathryn Hodge as she helps you get up and running with this popular language. Kathryn covers all the basics: Data types, strings, functions, and loops. She helps you control the flow and logic of your code, and debug your project to make sure it runs perfectly. Along the way, she provides real-world examples and introduces challenges that allow you to practice your new skills. This course is perfect for developers who need to get up to speed with Java fast, as well as for beginning programmers who want their first taste of this popular language.",Course,2024-07-02 08:22 UTC,N/A,false,N/A,
Working with Difficult People,"<p>In every workplace, you're likely to encounter colleagues who are more difficult to work with than others. But before you rush to judgment, you should determine if and how you might be contributing to the situation, and what you can do to help.</p><p>In this course, join psychologist Dr. Emily Anhalt as she shows you how to navigate and communicate with people who you find challenging to deal with at work. Pause and reflect on your role in challenging work situations to uncover how empathy can help you work better with others. Emily shares strategies to respond to a wide variety of particularly challenging work situations, including with people whose behavior is negative, absent, competitive, and passive-aggressive. By the end of this course, you’ll be prepared with new skills and practical strategies to have an effective conversation with someone you find difficult to work with.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2024-08-27 13:53 UTC,N/A,false,N/A,
DevOps Foundations: Containers,"Containers are an amazingly versatile and powerful tool in the DevOps toolkit that can remove or smooth over a lot of the usual pain points in application development. Instructor Josh Samuelson goes over what containers are, where and when you can use them, and how to manage them well. Josh begins with a thorough explanation of what containers are, why you should use them, and how containers differ from VMs. He covers using containers in development, packaging, and production, with examples and factors to consider for each. Josh concludes with an in-depth look at how you can use Docker Swarm, Kubernetes, Mesos, and cloud container solutions to manage your containers effectively.",Course,2025-11-12 13:36 UTC,2025-11-12 11:58 UTC,false,N/A,
Using Tableau to Discover Powerful Business Insights (2022),"Tableau is a powerful data visualization tool, with many uses in business. In this course, data analytics expert John David Ariansen shows you how to use Tableau effectively for uncovering powerful data insights. John David defines what data visualization is and explains the main functions of Tableau. He shares how to connect to data in Tableau, by connecting live or extracting the data sources. John David goes into how to manipulate data in Tableau to build visualizations. He covers each type of visualization and how each type is built. John David describes how to export and share data insights. He explains several concepts in Tableau, such as dimensions and measures, differences between discrete and continuous, aggregations, and timeliness. The course ends with a great list of forums and resources where you can continue your learning journey.
<br><br>
This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2025-11-06 14:12 UTC,2025-11-06 14:11 UTC,false,N/A,
Introduction to VMware,"Virtualization has quickly become one of the most important technologies in the world. It allows you to better manage your workloads by radically transforming traditional computing to make it more scalable. But have you ever thought about how virtualization actually works? In this introductory course, instructor Imran Afzal gives you a basic overview of this technology as he demonstrates how to leverage the various products offered by VMware, a leader in virtualization management software.<br><br>Learn more about the skills you need to be an effective system administrator in a virtual environment. Explore VMware products, how they work, core concepts, and why virtualization is so advantageous for IT professionals in today’s hybridized, technological landscape. Discover the different components of the VMware vSphere environment, testing your new virtual management skills along the way in your very own vSphere lab.",Course,2025-08-21 12:18 UTC,2025-08-21 12:15 UTC,false,N/A,
Foundations of Algorithmic Thinking with Python,"The word “algorithm,” at one time the sole province of mathematics and computer science, has entered the modern vernacular because, for better or worse, algorithms have never been more important or more impactful in daily life. If you’re a developer, you need to be familiar with a wide range of algorithmic thinking in order to be able to solve new problems as they present themselves. If you’re already familiar with Python, becoming more versed in algorithmic thinking is a great way to increase your value as a developer. In this course, Robin Andrews explains how Python, because of its clarity and expressiveness, is the ideal tool for exploring algorithmic thinking. He shows you tools to help you understand the flow of algorithms, explains the brute force approach to solving algorithms, details the concepts of time and space complexity with regard to algorithm analysis, the decrease and conquer strategy, and much more.",Course,2025-11-19 10:05 UTC,2025-11-19 10:03 UTC,false,N/A,
Microservices Foundations,"<p>Microservices is a major architectural pattern in the software industry, and having an overview of what this architecture is-and what it isn't-is critical as a starting point to evaluating this model. This course covers the basic concepts of microservices, to help you determine if this architectural model is the right fit for you and your team. Instructor Frank Moley kicks off the course by briefly discussing how microservices fit into the history of software architecture, and going into some of the other notable patterns that have emerged in recent years. Frank then helps to familiarize you with some core concepts of microservices, including bounded contexts and the API layer. He also goes over some of the more advanced areas of the architecture, as well as the importance of embracing a DevOps culture should you choose to move to microservices.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/microservices-foundations-professional-certificate-by-kong"" target=""_blank"">Professional Certificate</a> from Kong.</p>",Course,2024-07-08 15:50 UTC,2024-07-08 15:48 UTC,false,N/A,
How to Create an Engaging Online Learning Environment,"Online learning has become an increasingly popular way for students to learn and for educators to teach, growing rapidly as more people use the internet for educational needs. In this course, industry professional LaDale Whaley shares tips you can implement immediately to promote student success. By the end of this course, you will be able to create an engaging online learning environment that effectively connects with learners.",Course,2025-12-19 12:17 UTC,N/A,false,N/A,
Fine-Tuning for LLMs: from Beginner to Advanced,"This course capitalizes on the latest advancements in Large Language Models (LLMs) like FLAN-T5, enabling professionals to harness these tools effectively in the rapidly-evolving AI landscape. Instructor Axel Sirota helps you establish a strong foundation in the basics of LLMs, exploring their architecture, evolution, and role in the current AI landscape. Delve into prompt engineering and learn how to craft effective prompts that guide LLM outputs for specific tasks. Then deep dive into transfer learning and PEFT fine-tuning using LoRA and find out how to adapt and optimize LLMs for varied NLP tasks. Each course section comprises live-action clips, slides, and demos, as well as real-world challenges covering prompt engineering, transfer learning, and fine-tuning techniques to enhance FLAN-T5's capabilities. Plus, you’ll complete a final project focused on building an NLP solution encompassing sentiment analysis, text summarization, and question answering.",Course,2026-01-08 11:12 UTC,N/A,false,N/A,
Learning Arduino: Interfacing with Analog Devices,"Arduino helps engineers and DIY enthusiasts build functional, interactive prototypes and electronics projects. Integrating analog devices allows you to take your Arduino projects to the next level, bridging the digital and physical worlds. With analog components, you can collect data from sensors, make motors run, and display information to users. This course teaches you the basics you need to get started. Zara Khalil shows how to connect real devices—temperature sensors, LEDs, LDR circuits, joysticks, and stepper motors—to your Arduino board. She explains the wiring and coding you need to get them up and running and showcases the possibilities of Arduino-driven hardware in three mini projects.",Course,2025-11-29 01:02 UTC,N/A,false,N/A,
Generative AI: Working with Large Language Models,"Transformers have quickly become the go-to architecture for natural language processing (NLP). As a result, knowing how to use them is now a business-critical skill in your AI toolbox. In this course, instructor Jonathan Fernandes walks you through many of the key large language models (LLMs) developed since OpenAI first released GPT-3, as well as the key contributions of each of these LLMs.",Course,2025-12-19 13:01 UTC,2025-12-19 13:00 UTC,false,N/A,
Python for Data Science and Machine Learning Essential Training Part 1,"<p><i>Python for Data Science and Machine Learning Essential Training</i> is one of the most popular data science courses at LinkedIn Learning. It has now been updated and expanded to two parts-giving you even more hands-on, real-world Python experience. In part one, instructor Lillian Pierson takes you step by step through a data science and machine learning project: a web scraper that downloads and analyzes data from the web. Along the way, she introduces techniques to clean, reformat, transform, and describe raw data; generate visualizations; remove outliers; perform simple data analysis; and generate web-based graphs using Streamlit. By the end of this course, you'll have acquired basic coding experience that you can take to your organization and quickly apply to your own custom data science and machine learning projects.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time-all while using a tool that you'll likely encounter in the workplace. Check out the ""Using GitHub Codespaces with this course"" video to learn how to get started.</p>",Course,2026-08-26 08:30 UTC,N/A,false,N/A,
Agile Requirements Foundations,"<p>Customer needs change every day. We need our products to keep up. Take an agile approach to requirements analysis: Learn the mindset and techniques necessary to discover requirements for an agile project and succeed in the business analyst (BA) role. Angela Wick reviews the 12 agile principles from a BA's perspective, introduces backlog management techniques, and discusses techniques such as product decomposition, user stories and story maps, which help BAs deliver products that truly delight customers. Plus, find out what concepts such as ""minimum viable product"" and ""value stream"" mean to people in the BA role.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-business-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2025-11-18 08:52 UTC,2025-11-06 13:32 UTC,false,N/A,
Embracing an Agile Mindset at Work,"<p>Having an agile mindset—both as an individual and as an organization—is quite a buzzworthy topic in today’s workplace. And while many employees and many organizations claim to be agile, the question looms large: are they <em>really</em>?</p><p>This course, designed and taught by agile coach Dylan Jensen, focuses on what the agile mindset is, what it takes to fully embrace it, and how to leverage it in your professional life. Find out how and why adopting such a way of thinking can lead to a multitude of improved behaviors in yourself and those around you. Dylan helps you understand the benefits of keeping your mind agile, how to facilitate the implementation of an agile mindset, and focus on the results of adopting it in yourself and your workplace.</p><p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p>                  <img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" />",Course,2025-11-06 14:07 UTC,2025-11-06 14:04 UTC,false,N/A,
Requirements Elicitation and Analysis,"To define great requirements, it's not enough to simply ask customers and stakeholders what they want. By leveraging requirements elicitation and analysis techniques, business analysts can come up with more innovative solutions. In this course, explore these techniques, and learn why they're important, and how to blend them together and tailor them to your project. Angela Wick provides an overview of the process, and discusses how elicitation and analysis work together. She also covers different ways of gathering requirements—such as brainstorming, observation, and workshops—before moving on to analysis techniques such as context diagrams, user stories, and decision tables. At the conclusion of the course, she explains how to select the right approach for a particular product or project type.",Course,2025-11-06 11:15 UTC,2025-11-06 10:17 UTC,false,N/A,
Microsoft Azure DevOps Engineer Expert (AZ-400) Cert Prep: 4 Design and Implement Build and Release Pipelines by Microsoft Press,"<p>Get ready to take your skills to the next level and tackle the fourth domain of the Azure DevOps Engineer Expert (AZ-400) certification exam: Design and Implement Build and Release Pipelines. Join the experts from Microsoft Press for an overview of how to develop, implement and manage build pipelines and some external tools you can use to facilitate your processes. Learn how to set up build agents and create both classic Azure Pipelines and YAML pipelines. Explore package management, containers, and ways to maintain your code quality and security. Plus, learn how to integrate external tools, optimize your builds, and monitor and analyze your pipelines. By the end of this course, you’ll be ready to tackle the fourth domain of the official exam.</p>
 
<p>This course was created by Microsoft Press. We are pleased to host this training in our library.</p>",Course,2024-07-31 13:24 UTC,N/A,false,N/A,
AWS Certified Cloud Practitioner (CLF-C02) Cert Prep: 2 Security and Compliance,"As part of any good IT infrastructure, security plays an important part in creating a stable technical environment. This course covers the topics from the Security and Compliance domain for the AWS Certified Cloud Practitioner (CLF-C02) exam. With cloud computing becoming more relevant to many professionals’ lives, even if tangentially, it's a vital topic to explore. This course, part of a series of courses designed to help prepare you for the AWS Certified Cloud Practitioner exam, provides you with a high-level grasp of the major security services and concepts in AWS. Instructor Hiroko Nishimura—founder of <a href=""https://awsnewbies.com/about/"">AWS Newbies</a>—provides an overview of security in the cloud. She then delves into the different security services available: Identity Access Management (IAM), Shield, Inspector, and more.",Course,2025-09-15 08:22 UTC,N/A,false,N/A,
Python for Non-Programmers,"<p>Did you know that learning Python is one of the easiest ways to learn to code? It’s true. And in this course you can avoid the jargon and make learning how to code a lot more fun. You don’t have to be an expert technician, either. Join instructor Nick Walter and find out what you need to get started now.</p><p>In this course, Nick teaches the fundamentals of Python to you: a non-programmer, a user with little to no coding experience. Learn more about what Python is, and what it is and isn’t used for. Explore how Python works with numbers and how you can interact with simple programs such as a simple number-guessing game. Find out how to work with text in Python by building a reusable function to count the words in a block of text. And along the way, tackle quick challenges and other games that allow you to put your new skills to the test.</p>",Course,2025-11-06 16:04 UTC,2025-11-06 16:03 UTC,false,N/A,
"Becoming an Agile Leader: Mastering the Mindset, Skills, and Strategies to Succeed","Agile environments present some unique challenges and opportunities for leadership. In this course, instructor Kelley O’Connell covers leadership definitions, agile leadership objectives and techniques, and leadership stabilization. Kelley explains why leadership is necessary in agile environments, then goes over traditional leadership functions and how agile leadership is different. She defines essential new leadership skills and discusses how you can transform yourself into an agile leader and help your team and organization shift successfully to agile, as well. Kelley describes key agile leadership techniques, then concludes by sharing ways you can establish team values, apply organizational strategy, define priorities, and more.",Course,2026-01-27 15:35 UTC,2026-01-27 15:31 UTC,false,N/A,
Prompt Engineering: How to Talk to the AIs (2023),"Are you looking to learn more about prompt engineering, but not sure where to start? Join Xavier Amatriain, vice president of engineering and AI product strategy at LinkedIn, in this course designed to get you up to speed with one of the hottest topics in AI today. By the end of this course, you’ll be equipped with new engineering tips and tricks—as well as a variety of sample prompts and responses—to start talking to the AIs all on your own.",Course,2025-08-27 13:09 UTC,N/A,false,N/A,
Conflict Resolution Foundations,"<p>Improve your relationships with your coworkers, clients, and managers and find your way through conflict back to cooperation. In this course, negotiation and leadership coach Lisa Gates shares the secrets of effective conflict resolution and reveals simple, repeatable techniques that apply in most business situations. She presents ""The Resolution Roadmap,"" a practical framework for exploring and navigating conflict resolution, including identifying the issue and distinguishing fact from fiction. A scenario helps take you through best practices for opening the conflict conversation, brainstorming solutions, and coming to an agreement. In addition, she shares powerful conflict resolution techniques that can help you enhance your listening skills and reframe problems to find common ground. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-11-06 15:49 UTC,2025-11-06 15:48 UTC,false,N/A,
"Playwright Essential Training: Abstractions, Fixtures, and Complex Scenarios","Playwright is a newer tool that has joined the ranks of Cypress and Selenium in open-source automation tooling. Playwright works right out of the box, and its comprehensive feature set allows testers and developers to quickly create new test automation projects without having to rely on combining multiple libraries and tools together. Whether you are a manual tester looking to dip your toes into test automation or a seasoned test automation engineer, check out this course to get hands-on experience with the top features that make Playwright a great choice for your automated tests. Instructor Butch Mayhew takes you through some advanced features and covers best practices for writing, running, and maintaining tests as you scale with Playwright.",Course,2025-09-15 20:46 UTC,N/A,false,N/A,
Spring Boot 2.0 Essential Training,"Learn how to get started with Spring Boot 2.x, a powerful framework that can help you build web applications quickly, using less code. The Java-based programs you build in Spring Boot ""just run"": they resolve their own dependencies and create containers for running code in any environment. Learn how to use Spring Boot to build your projects in this course with software architect and Spring developer Frank Moley. Frank shows how to initialize, containerize, and run Spring Boot web apps and CLI apps, and use the library of common starter projects to fill business-critical needs: data, messaging, security, and more. Plus, find how to extend Spring Boot by creating your own starters and use the Actuator module's HTTP endpoints to monitor and manage your apps.",Course,2024-07-02 09:53 UTC,2024-06-28 11:20 UTC,false,N/A,
AI Text Summarization with Hugging Face,"<p>The Hugging Face AI community aspires to advance and democratize artificial intelligence through open source and open science. In this course, Janani Ravi guides you through using this powerful AI tool to summarize text. Learn how extractive text summarization works, as well as its intermediate representations. Explore evaluation metrics, and find out how to navigate and access information on the Hugging Face platform. Go over logging into Hugging Face, using the sumy library for extractive summarization, and using abstractive text summarization with the Hosted Inference API. Learn about sequence-to-sequence models, transformers, and how to use them in Hugging Face. Plus, dive into using a Hugging Face pipeline to perform actual summarization, fine-tuning a transformer model, and exploring several Hugging Face transformers.</p>

<p>This course was created by Janani Ravi. We are pleased to host this training in our library.</p>",Course,2025-12-19 15:01 UTC,2025-12-19 15:00 UTC,false,N/A,
Machine Learning with Scikit-Learn (2020),"The ability to apply machine learning algorithms is an important part of a data scientist’s skill set. scikit-learn is a popular open-source Python library that offers user-friendly and efficient versions of common machine learning algorithms. In this course, data scientist Michael Galarnyk explains how to use scikit-learn for supervised and unsupervised machine learning. Michael reviews the benefits of this easy-to-use API and then quickly segues to practical techniques, starting with linear and logistic regression, decision trees, and random forest models. In chapter three, he covers unsupervised learning techniques such as K-means clustering and principal component analysis (PCA). Plus, learn how to create scikit-learn pipelines to make your code cleaner and more resilient to bugs. By the end of the course, you'll be able to understand the strengths and weaknesses of each scikit-learn algorithm and build better, more efficient machine learning models.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2025-11-06 11:31 UTC,2025-11-06 11:30 UTC,false,N/A,
Learning REST APIs,"Learn the basics of REST APIs. In this course, discover what REST APIs are, why they matter, and how putting them to use can help you build faster, more efficient applications. Review how HTTP and REST APIs relate, explore the six constraints of REST, and learn about HTTP status messages. Learn how to get started with consuming REST APIs to incorporate them into data-driven applications.",Course,2024-07-03 14:20 UTC,2024-07-01 11:45 UTC,false,N/A,
Large Language Models: Text Classification for NLP using BERT,"Transformers are taking the natural language processing (NLP) world by storm. In this course, instructor Jonathan Fernandes teaches you all about this go-to architecture for NLP and computer vision tasks and must-have skill in your Artificial Intelligence toolkit. Jonathan uses a hands-on approach to show you the basics of working with transformers in NLP and production. He goes over BERT model sizes, bias in BERT, and how BERT was trained. Jonathan explores transfer learning, shows you how to use the BERT model and tokenization, and covers text classification.  After thoroughly explaining the transformer model architecture, he finishes up with some additional training runs.",Course,2025-12-19 13:54 UTC,2025-12-19 13:50 UTC,false,N/A,
Advanced Java Programming,"Want to get more out of the Java language and platform? In this platform- and framework-neutral course, instructor Bethan Palmer digs into some of the language’s more advanced features, helping you expand your programming skills as she equips you with techniques you can use when building applications anywhere Java is used: in web, mobile, and desktop applications. Bethan covers a variety of topics, including generics, working with the Collections Framework, and functional programming. Plus, learn about I/O in Java, working with files and directories, and structuring applications using the modular system available in Java.",Course,2024-06-27 08:51 UTC,2024-06-27 08:47 UTC,false,N/A,
Web Servers and APIs using C++,"C++ has re-emerged as a go-to language for developing high-performance websites and web applications. C++ compiles to machine code, making it faster to start up and execute. For users, this means less time waiting for a site to render. This course teaches developers how to build a website powered by a MongoDB database and deploy it with a Heroku cloud server, all with C++. Instructor Troy Miles—a senior software developer—shows how to build and deliver HTML webpages; upload, download, and parse JSON data; make RESTful API calls; and even do real-time communication using WebSockets. Along the way, he shows how to resolve one of the main challenges of C++ web development—a complex toolchain that must be synced in development and production—using Docker containers.",Course,2025-09-08 15:44 UTC,N/A,false,N/A,
Agile at Work: Building Your Agile Team,"Build an agile team that delivers real business value. In this course, internationally recognized expert Natasha Kasimtseva guides you through designing, staffing, and growing a high-performing agile team. You'll assess your organization's readiness, define goals and roles, find and upskill team members, and create a clear road map for growth. Through practical challenges and solutions, you'll gain the confidence and tools to start building your agile team—wherever you are in your journey.",Course,2026-02-20 13:15 UTC,2026-02-20 13:15 UTC,false,N/A,
Nano Tips to Speak Up in Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and peak performance educator for Fortune 500s Shadé Zahrai teaches you quick tips for speaking up in meetings and making your voice heard. Learn how to avoid mistakes that harm your credibility and influence, speak up when you can’t find your turn, contribute value with strategic questions, claim back credit for overlooked suggestions, and more.",Course,2025-08-30 11:19 UTC,N/A,false,N/A,
