Name,Url,Authority,Started On,Finished On,License Number
Applied Machine Learning: Algorithms,https://www.linkedin.com/learning/certificates/c48bf67dc62ac1dc4054aa9f96c07c392e824c94ae8ed79d0d89a8e2aa32424b,LinkedIn,Nov 2025,,
Agile Requirements Foundations,https://www.linkedin.com/learning/certificates/f6ca032ff93b3ac5e22b673c2310b288620e492a1cd0d23a1880f71fed8074e9,LinkedIn,Nov 2025,,
Taking Charge of Your Career,https://www.linkedin.com/learning/certificates/aaf531e5341d1520cac8556deff41046585e00566f20653c744e012e3faae98b,LinkedIn,Nov 2025,,
Embracing an Agile Mindset at Work,https://www.linkedin.com/learning/certificates/125548a3cc6059d9e6903cc49befd398397c78c9c61472c88a6b943fc43da335,LinkedIn,Nov 2025,,
Using Tableau to Discover Powerful Business Insights (2022),https://www.linkedin.com/learning/certificates/c7313e916ab960f77907afcea6d0a66914842c3144427e439bbd1123f1d6d5a9,LinkedIn,Nov 2025,,
Interpersonal Communication,https://www.linkedin.com/learning/certificates/0cb9b6878110a1f1280638361263b5f9db5b87220b649c168a0ff81402ba8f99,LinkedIn,Nov 2025,,
Learning Computer Security and Internet Safety,https://www.linkedin.com/learning/certificates/e28404385ea9f66de3977a63a9ca27af500b4d2648a7a7a56b6086fc1e2b9f13,LinkedIn,Nov 2025,,
Conflict Resolution Foundations,https://www.linkedin.com/learning/certificates/57452d1304ee900b94dcac179f6cc71aac68a54db5a50a492f06fa1310f07a7e,LinkedIn,Nov 2025,,
Learning ITIL®,https://www.linkedin.com/learning/certificates/51b9099d949265b2438643b08a50aadab08ae4baaecfd06fe7cddf5708247ce1,LinkedIn,Nov 2025,,
DevOps Foundations: Lean and Agile,https://www.linkedin.com/learning/certificates/3a87af7b62e25a87ebeea6eb9c272ad0535f703cf49c6c242db9a7777d87b10e,LinkedIn,Nov 2025,,
Python for Non-Programmers,https://www.linkedin.com/learning/certificates/bd59fab78c4305467c3ce3159c71034caf1262300b260e5772186a7f48fa33ce,LinkedIn,Nov 2025,,
Engaging Your Virtual Audience,https://www.linkedin.com/learning/certificates/9f31122cf7d5bd4fa5928f2d7dd9414430ef6396e5d6bb5eb40a78e6ca616f5e,LinkedIn,Nov 2025,,
Deep Learning: Model Optimization and Tuning,https://www.linkedin.com/learning/certificates/5f48716bfc72984b44696f199372c162ecd0f154f054497ca0fd5350a1357dad,LinkedIn,Nov 2025,,
Communicating Nonverbally,https://www.linkedin.com/learning/certificates/63c7ff1edcc8ddeb3df4bfa91c310a1af65a2eca05f532ab61dde3eb938bd806,LinkedIn,Nov 2025,,
Communicating with Empathy,https://www.linkedin.com/learning/certificates/3c7bc68ce26b76057f1ab5c35d494f5df07d642efe9ea0ff8f94f36075bcc5c4,LinkedIn,Nov 2025,,
DevOps Foundations: Containers,https://www.linkedin.com/learning/certificates/995dd05503b1c3b7d36e647108e4d373422cab61a09f79676d8bb894e29a8442,LinkedIn,Nov 2025,,
Observe Associate Certification,https://mycourse.app/srHrGWVCz2wquJhMT,"Observe, Inc.",Nov 2025,,691b1957a566193b880ba527
Introduction to AI concepts,https://learn.microsoft.com/en-us/users/taylorbengtis-8689/achievements/elt3dh2p,Microsoft,Nov 2025,,
Get started with speech in Azure,https://learn.microsoft.com/en-gb/users/taylorbengtis-8689/achievements/pgshvpg4,Microsoft,Nov 2025,,
Introduction to generative AI and agents,https://learn.microsoft.com/en-gb/users/taylorbengtis-8689/achievements/pgshpmb4,Microsoft,Nov 2025,,
Implement a responsible generative AI solution in Azure AI Foundry,https://learn.microsoft.com/en-gb/users/taylorbengtis-8689/achievements/xevtar8y,Microsoft,Nov 2025,,
Introduction to machine learning concepts,https://learn.microsoft.com/en-gb/users/taylorbengtis-8689/achievements/vtbcjhvm,Microsoft,Nov 2025,,
DevOps Foundations: Microservices,https://www.linkedin.com/learning/certificates/451e8af31b1f15993ebeb90a5fc4f979136f5057b4ae8809fd61c87c1f337b32,LinkedIn,Nov 2025,,
Python Data Structures and Algorithms,https://www.linkedin.com/learning/certificates/e8b69e462031496a894acb99a9332849b63c386ecf78e06a74436fa87f3dd73c,LinkedIn,Nov 2025,,
Foundations of Algorithmic Thinking with Python,https://www.linkedin.com/learning/certificates/f902e517ff7da8084cfb049356fc5e5f2bd508498963f1c721eaa69cbdbb40a7,LinkedIn,Nov 2025,,
Generative AI: Working with Large Language Models,https://www.linkedin.com/learning/certificates/66d368cb1542274f1e510a32713e529498ea9d5989f0042726ded76f633728e6,LinkedIn,Dec 2025,,
Large Language Models: Text Classification for NLP using BERT,https://www.linkedin.com/learning/certificates/180fc881438ec74cd2fe1a9ebcaaf1b9d7e282fb7347b86e672a4d3806e8d12f,LinkedIn,Dec 2025,,
AI Text Summarization with Hugging Face,https://www.linkedin.com/learning/certificates/145be69be3d34fb2606144bac6c49b82ccd72fc784881b1de7bfdd3a3a87fec0,LinkedIn,Dec 2025,,
Generative NLP with Variational AutoEncoders,https://www.linkedin.com/learning/certificates/21e59d56b3133b2b04ceab244969455e65a1d795ddcc9ca8546f3ccf501e9380,LinkedIn,Dec 2025,,
Foundational Math for Generative AI: Understanding LLMs and Transformers through Practical Applications,https://www.linkedin.com/learning/certificates/fdd495d87e78866b4f52ca88d0de2f3f3800335a8000ccbd25d84c23a52188ad,LinkedIn,Dec 2025,,
Prometheus and Grafana: Visualizing Application Performance,https://www.linkedin.com/learning/certificates/27b9aa139d3c76efdbd4e7c7dd8d5758085fed04611fda6249926bd35ef2025e,LinkedIn,Jan 2026,,
Build with AI: LLM-Powered Applications with Streamlit,https://www.linkedin.com/learning/certificates/0bc8a7fc7ddd99c1d57a2e9a46aa147d53616d8fd5b20498fbbc3b24090be29c,LinkedIn,Jan 2026,,
"Becoming an Agile Leader: Mastering the Mindset, Skills, and Strategies to Succeed",https://www.linkedin.com/learning/certificates/68aaa57937b9ebfa50dce7601ce347db6a5c9f38993f2b6a0190233b84d0330a,LinkedIn,Jan 2026,,
Agile Product Owner Role: Foundations,https://www.linkedin.com/learning/certificates/24b3a8023f543d083535dc035dbd19ff5201bcdfeb354867e7b216893760795b,LinkedIn,Jan 2026,,
Agile at Work: Building Your Agile Team,https://www.linkedin.com/learning/certificates/1e603bc7fd86f571d8fd6a532cc75471b14b30df2f3cd1552a01e3e571b8fd14,LinkedIn,Feb 2026,,
